"_","Id","LearningCourse","LearningCourse.Name","LearningCourse.Description","LearningCourse.CourseLearningOutcomes__c","LearningCourse.CourseCode__c","LearningCourse.ParentProvider__c","AcademicSession","AcademicSession.Name"
"[CourseOffering]","0P0Vg00000002JUKAY","[LearningCourse]","Theatre and Politics","The course examines the depiction of political issues such as colonialism, totalitarianism, controversies concerning
US domestic and international policies, and terrorism in twentieth- and twenty-first-century theatre. It also aims
to discuss the role that theatre might play as a form of cultural intervention in these issues. The exploration of
theatre and politics is based on an introduction to principal styles and genres of modern theatre that contemporary
playwrights may use to address their themes, such as naturalism, epic theatre, and the theatre of the absurd.
Influences of these styles will be traced in recent European, American and Latin American plays, and will be
followed by a discussion of new theatrical genres, for instance, the monologue play or verbatim drama. Classes
will be complemented by the screening of extracts from productions and other visual material, and by optional
attendance at any available theatre productions.","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehend and have a clear understanding of how contemporary drama and theatre interacts with political reality;</li><li>Understand the basics of principal modes of modern theatre, such as naturalism, epic theatre, and the theatre of the absurd, and be able to trace their legacies in the work of contemporary playwrights;</li><li>Place in context and lend perspective to the work of principal European, North American, and Latin American playwrights;</li><li>Improve the skills of critical thinking, close reading, oral presentation, academic writing, and independent research.</li></ul>","LIT282","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JVKAY","[LearningCourse]","Public Speaking","The course is designed to help students communicate information clearly and expressively, developing a personal
style that maximizes their expressive skills, with practice using visual aids which enhance the effectiveness of the
communication. The course also focuses on interpersonal communication skills, such as listening and a variety of
positive roles one can play in a group communication process. The course further intends to help students shape
their ideas into effective persuasive presentations. Types of presentations (introducing others, personal experience
speech, informative speech, speech, and persuasive speeches) are analyzed, prepared, presented and critiqued in
class with a view toward clear organization of material, optimal delivery skills and effective contact with others.
Attention is paid to speaking in multi-cultural environments.","<p>Upon completion of this course, students will be able to:</p><ul><li>Free expressive skills in the voice and body;</li><li>Develop a personal and effective style for making presentations;</li><li>Learn and practice organizational patterns for informative presentations;</li><li>Learn and practice an effective organizational pattern for persuasive speeches;</li><li>Practice using visual aids effectively;</li><li>Gain confidence as a speaker through practice and knowledge of tools for effective communication;</li><li>Gain an awareness of various positive and negative roles one could play in group communication;</li><li>Gain an awareness of cultural influences on the communication processing;</li><li>Exercise listening skills and critical faculties for evaluating speeches;</li><li>Gain objective knowledge of communication principles.</li></ul>","COM110","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JWKAY","[LearningCourse]","Video Storytelling","This introduction to reporting for electronic media incorporates weekly lectures, analysis of broadcast reporting
and documentary production, both current and past, and, through practical exercises in electronic news gathering,
students will learn the basic concepts of journalism for air and screen. Because the course focuses on independent
media production, students are advised to use their own video cameras, MacBooks or PCs when we move into the
production and post-production phase - although cameras are available for those without one. Working in groups,
we will produce a series of video exercises culminating in short newscast at the end of the semester, incorporating
everything we&#39;ve covered about finding, researching and reporting a story, gathering elements that may include
documentation, archival material, interviews, sound and field footage. Technical considerations, such as lighting,
composition, focus, audio, editing, and post production enhancements and formatting issues will also be covered,
with guest speakers with experience in the field.","<p>Upon completion of this course, students will be able to:</p><ul><li>Write a shooting script that incorporates visual story telling, sound that adds dimension and good reporting; be able to shoot and edit field footage into a form suitable for webcast at a minimum;</li><li>Plan, report, record and edit a short news story for broadcast;</li><li>Comprehend and have a clear understanding of independent news gathering for the media;</li><li>Understand and analyze news broadcasts and non-fiction films for form, content, style and impact.</li></ul>","JRN255","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JXKAY","[LearningCourse]","Introduction to Film Language","This course focuses on increasing the students&#39; awareness of how the camera contributes to the development of
film language or visual dramatization. In film, a director and cinematographer collaborate on the use of expressive
tools which constitute film language. The main cinematic tools are Movement, Framing, Points of View, Angles,
Shot sizes, Axis rules, Depth of Field, Resolution, Color and Compositional factors, including the Golden Ratio.
Each tool will be examined separately for its expressive potential, with examples from different screenings used
to help the student understand how each tool may contribute to developing a film&#39;s language and dramatic potential.
Several styles are examined in order to expand the student&#39;s awareness of the tools&#39; expressive range. Movement
is stressed, since film is above all else, motion pictures.","<p>Upon completion of this course, students will be able to:</p><ul><li>To define film language in terms of visual dramatization and the cinematic tools used to create it;</li><li>To identify the expressive tools available to the filmmaker for visual dramatization;</li><li>To understand the role of movement, framing, ponts of view, angles, shot sizes, axis rules, depth of field, resolution, color and compositional factors in developing a film&#39;s expressive language and telling a dramatic story visually;</li><li>To define each of the above named expressive tools and give and example of their functioning in film;</li><li>To have experience capturing in photographs a short story sequence using tools of movement, frame and shot size;</li><li>To analyze film sequences for the interplay of expressive tools.</li></ul>","FMS200","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002JYKAY","[LearningCourse]","History of Cinema-the Auteurs","This course is a survey of fourteen major film auteurs from the advent of cinema in 1895 to the present. An auteur
is an artist, usually a film director, who applies a highly centralized and subjective control to many aspects of a
collaborative creative work; in other words, a person equivalent to an author of a novel or a play. Progressing
chronologically, the course builds an overall view of auteur theory across cultures, considering film criticism, as
well as analyzing the styles of major auteurs. Students will also become familiar with key concepts in film studies
including realism, expressionism, montage, mise en scene, and genre. As students acquire a better familiarity with
cinematic history and the developments in film criticism, they will become better prepared to form surer and
sounder judgments about their own film experiences and to speak and write about those judgments with greater
clarity and skill.","<p>Upon completion of this course, students will be able to:</p><ul><li>Demonstrate a familiarity with the major movements in film theory and criticism with respect to the various modes of inquiry that have impacted the study of film;</li><li>Demonstrate a basic familiarity with key concepts in cinema studies;</li><li>Demonstrate a familiarity with a body of films and the ways in which they can be understood and contextualized with respect to the literature that defines film theory and criticism;</li><li>Apply critical and analytic tools essential for film scholarship and related fields of aesthetic inquiry grounded in a familiarity with the critical literature on film.</li></ul>","FMS256","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LBKAY","[LearningCourse]","Computer Information Systems","The purpose of the course is to introduce students to the basic features and uses of computer and information
systems. The course starts with an introduction to the origins of computing, move into the technical foundations
of computing, continue with a discussion of hardware, software, and operating systems. The bulk of the class,
however, relates to the introduction to and use of popular software applications which will be useful to the students
in their academic and professional careers.","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehend and have a clear understanding of the way how various types of data are represented in computers;</li><li>Understand the function of basic hardware components of personal computers;</li><li>Understand the role of various types of software;</li><li>Understand the strategies of how to select or configure the most appropriate new computer (desktop and laptop) according to the student’s needs;</li><li>Compare technical characteristics of personal computers in commercial advertisements;</li><li>Understand various types of networks and their basic technical characteristics;</li><li>Understand the basic issues related to computer technology;</li><li>Analyze a problem in the spreadsheet table;</li><li>Create and present a short presentation on a given topic;</li><li>Understand the concepts of writing a longer document (thesis, research paper etc.) and exploiting styles and templates.</li></ul>","CIS161","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LCKAY","[LearningCourse]","Art Studio: Painting","","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand and recognize the main characteristics of the Expressionist Figurative styles in Central European art;</li><li>Acquire a basic working knowledge of the principles and techniques of figure drawing, which include a basic knowledge of human proportions, anatomy, contour line, value, and color;</li><li>Acquire the understanding and skills to use the Expressionist methods in one’s own work.</li></ul>","ART182","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LDKAY","[LearningCourse]","Documentary Film Seminar","This course surveys the history and contemporary vitality of non-fiction films, teaching students to appreciate the
social significance and aesthetic possibilities of the form that is considered the root of cinema. The curriculum is
divided into three sections: in the first, we identify the distinctive development and attributes of documentary; the
second explores the range of subjects these films can address, including a visit to the largest human rights festival
in Europe, and the third samples documentary’s current modes.","<p>Upon completion of this course, students will be able to:</p><ul><li>Demonstrate a general understanding of the history, development, modes, and current state of documentary film;</li><li>Critically discuss varied approaches towards non-fiction filmmaking;</li><li>Demonstrate an understanding of film language, particularly in the modes of documentary.</li></ul>","FMS367","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LEKAY","[LearningCourse]","Documentary Film Practicum","The course is designed to help students implement the tools studied in the FMS film language class with the
awareness of documentary forms in the FMS367 class as they create practical exercises that are basic for
developing skills in documentary filmmaking. Two types of exercises are undertaken: the demonstration of a
process (workflow) and the portrait of a person. Classes are structured so as to help students understand, prepare,
and execute the projects; then analyze the results achieved. Depending on the size of the class, projects may
be/must be done in pairs. Students should have editing software (iMovie or Adobe Premiere) on their personal
computers. If done in pairs, it is enough for one member to have the software.","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand components of a clear demonstration;</li><li>Use the tools of film language to capture a workflow on film;</li><li>Improve in areas of representing reality in a visually appealing way;</li><li>Understand components of a portrait documentary;</li><li>Use the tools of film language and narrative to create a portrait of a person on film;</li><li>Improve in areas of presenting a portrait in ways which are visually appealing and sustain interest in an audience.</li></ul>","FMS369","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LFKAY","[LearningCourse]","New Zealand Exchange","","","NEW ZEALAND EXCHANGE","","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LGKAY","[LearningCourse]","History of the Cold War","The course begins by examining the uneasy alliance that developed in 1941 between the United States, Great
Britain and the Soviet Union against the threat of Nazi Germany and the Axis powers. We will then trace the
deterioration of this alliance after 1945 into hostile camps, and the intensification of superpower conflict in Asia
during the 1950s. The death of Stalin in 1953 brought with it some hope for a relaxation of these tensions. But by
the end of the 1950s and the early 1960s, the Cold War had entered its most dangerous period, with crises in
Europe and the Caribbean (the successive Berlin and Cuban Missile crises) which very nearly resulted in a nuclear
conflagration.
A period of so-called détente followed in the later 60s and the 1970s. But a relaxation in tensions between the two
superpowers was paradoxically characterised by an intensification of conflict on the periphery of the superpowers’
spheres of influence – in South East, the Middle East and Africa. America’s unending war in Vietnam, and the
war fought between the Arab states and Israel in 1973 – almost brought the world economy to the brink of collapse
in the 1970s.
The Cold War would enter another intense phase – the so-called “Second Cold War” – in the late 1970s and early
1980s, almost resulting in the outbreak of nuclear war in 1983. Yet, just at the point where the conflict seemed at
its most intense and irreconcilable, it suddenly and unexpectedly ended with the coming to power in the Soviet
Union of Mikhail Gorbachev and the rapid collapse of the Soviet empire in Eastern Europe in 1989 and of the
Soviet Union itself in 1991.","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand the historical relationship between the United States and the Soviet Union, particularly as it developed after 1945;</li><li>Understand the main rival schools of thought regarding the causes and development of the Cold War – the &quot;Orthodox School,&quot; the &quot;Revisionists,&quot; the &quot;Post-Revisionists&quot; and the &quot;Post-Soviets&quot;;</li><li>Have gained an understanding of some of the more controversial topics relating to the Cold War period, such as the decision to drop the atomic bomb; whether the Soviet;</li><li>Have gained a basic acquaintance with some of the key documentary sources relating to the Cold War;</li><li>Consider the role of great power strategic and economic interests, competing ideologies (capitalism, democracy, imperialism, communism, Pan-Slavism), nationalism, ethnic conflict and anti-colonialism in shaping the Cold War conflict.</li></ul>","IRS251","School of International Relations and Diplomacy","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LHKAY","[LearningCourse]","Elementary Czech Language & Culture","Czech 100 aims at providing an essential understanding and usage of the Czech language. Its main stress will be
on establishing a solid base for the students´effective performance in the language. At the same time the course
aims at stimulating students to interact creatively in a new language environment and develop their own approach
towards the language. It includes reflecting on readings.","<p>Upon completion of this course, students will be able to:</p><ul><li>Explore the sounds of a new language and their patterns and master correct pronunciation of local names and Czech texts in general;</li><li>Engage in elementary conversations, i.e. ask questions, give commands, seek information and describe the surroundings;</li><li>Acquire lexical supply focused on the exchange of personal information, shopping, ordering in a restaurant, asking directions, time arrangements life;</li><li>Apply communicative skills in the Czech language (grammar and vocabulary) at a beginner´s level, selecting from appropriate language strategies when speaking, reading and listening;</li><li>Summarize the language features and observations on the life in the Czech Republic.</li></ul>","CZE100","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LIKAY","[LearningCourse]","Elementary Mathematics","This course serves as a preparatory course for Business Mathematics I. It is intended for students who have limited
knowledge of mathematics. It concentrates upon basic mathematical notions and operations – fractions,
percentage, using negative numbers etc. The content of the course will be adapted to concrete needs of students.","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehend and have a clear understanding of basic mathematical notions and operations;</li><li>Understand fractions and percentages;</li><li>Understand calculations with negative numbers;</li><li>Understand the concept of variables in mathematics;</li><li>Understand priority of operators and the role of parentheses in mathematical expressions;</li><li>Understand simple equations with a single variable;</li><li>Analyse a word problem and transform it into an equation;</li><li>Understand the concepts of square roots, algebraic expressions and their simplification;</li><li>Understand the concept of basic functions constant, linear and quadratic functions.</li></ul>","MTH099","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LKKAY","[LearningCourse]","Creative Writing","The aim of COM 351 is to improve your creative writing and critical thinking skills, enable you to generate writing
in the future, and to impart the methodology necessary for a career as a creative writer. To accomplish this, students
will receive training in practical and theoretical aspects of creative writing through lectures, critical readings and
exercises, focusing on narrative fiction in four types: essays, screenplays, novels and short stories.","<p>Upon completion of this course, students will be able to:</p><ul><li>Demonstrate a clear understanding of a variety of creative writing genres;</li><li>Engage in the writing process resulting in cohesive, coherent writing with appropriate structure, style and syntax;</li><li>Show evidence of creative thinking and originality;</li><li>Read from their own work before an audience employing various means of delivery and dramatic effect;</li><li>Recognize successful versus unsuccessful creative writing;</li><li>Identify problems in weak writing;</li><li>Compose and edit a manuscript consisting of 5 pieces of original writing, including a 10-page story.</li></ul>","COM351","School of Business","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LLKAY","[LearningCourse]","World History I","This course is primarily an overview of Ancient Civilizations from approximately 3500 BC to AD 1500. It includes
the civilizations of the Ancient Near East, Ancient and Medieval India, Ancient and Medieval China, the Ancient
Greek and Roman civilizations, the rise of Christianity and Islam, the Eurasian world in the Middle Ages, and
finally, a brief overview of Native American Civilizations from their earliest appearance to the arrival of Columbus
in 1492. This “World History” course is conceived as an opportunity to restore balance to educational systems that
have traditionally emphasized the history of “western civilization” and largely ignored the history of other regions.
Thus, the emphasis is on “non-western” civilization, although “western” civilization (of course a part of “world
history) is not ignored.
This course focuses more on comparison of civilizations than contrast. While differences between human
civilizations are striking and important, the amount of similarity, and the ability of all humans to adapt to, learn
from, and modify new cultures is also significant. Therefore, the class tries to focus on universal themes, such as
the development of writing, the spread of “universal” languages, political ideals of global significance, imperial
systems and their management, philosophies and ideologies, and the development of major religious systems and
the unifying cultures they helped to create.
The class critically analyses the notion a historical “clash” between mutually antagonistic civilizations. The course
looks at ways in which humans have sought to organize and unify themselves. It searches more for similarities and
integration than for sensational “exoticism” and remote otherness (although there is much that is intriguing and
surprising!). Rather than presuming perpetual antagonism and a simple “oppression” and “victimization” scheme,
the course emphasizes cultural negotiation, continual change and adaptation, syncretism, and advantageous
borrowing.","<p>Upon completion of this course, students will be able to:</p><ul><li>Develop at least a basic reserve of specific data about World History in order to have an informed and educated conversation about it, and to have a better sense of how to find and use such information when needed;</li><li>Be capable of recognizing, understanding, and critically analysing areas of disagreement and uncertainty in World History, and knowing what some of the major controversies are, not only recognize key areas of dispute about World History, but also understand, at least on a basic level, how historical arguments are made and how historical evidence is evaluated and used;</li><li>Recognize and appreciate the significance of constant change in World History (in religious beliefs, philosophical beliefs, political organisation, political geography, economic surroundings, demographics, and group identity);</li><li>Understand the specific contexts for crucial developments in human culture, such as the invention of writing, the development of political ideals, the creation of systems of governance, and the main religious systems that are still significant parts of human culture;</li><li>Critically analyse traditional notions of cultural superiority and inferiority, understand their connection to modern ideas such as “race,” and develop a broader and global understanding of culture and civilization.</li></ul>","HIS103","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LMKAY","[LearningCourse]","Intercultural Communication","Intercultural Communication (ICC) is an intermediate course which examines the intersection of language,
communication, community and culture. It presents differing perspectives on issues central to ICC and explores
cultural and linguistic diversity and contact, and language endangerment. It examines the formation of identity,
such as gender, status and ethnicity, and culture through language.","<p>Upon completion of this course, students will be able to:</p><ul><li>Comprehended the concepts of communication, culture and language from diverse theoretical perspectives;</li><li>Studied their interconnection and application in various linguistic cultures;</li><li>Analyzed key readings on ICC;</li><li>Understood the implications effects of language contact;</li><li>Explored, questioned and compared communicative strategies and language rituals across cultures;</li><li>Assessed factors complicating intercultural communication; i.e., ethnicity, privilege, equality, social inclusion and exclusion, migration and globalization;</li><li>Collected and evaluated data in order to explore issues and topics in ICC first-hand;</li><li>Presented a research thesis which examines and explains an ICC issue and proposes a resolution;</li><li>Written a research paper.</li></ul>","COM201","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LNKAY","[LearningCourse]","Introduction to Film Studies","The course is designed as an introduction to the study of Film Art. The course will focus on understanding how
film form and film style is created and meaningfully perceived by spectators. Units include an understanding of
narrative structure, mise en scène, setting, cinematic objects, cinematography (frame, camera movement, lighting),
editing, sound and acting as creative tools used for the construction of film art. The use of genres as well as the
impact of historical/technical developments on film styles are also treated.
Warning: Some of the content and discussion in this course will necessarily engage with filmic representations of
violence and other mature themes or traumatic experiences. Students who do not wish to view certain films should
inform the instructor.","<p>Upon completion of this course, students will be able to:</p><ul><li>Define and apply basic film analytical terminology (related to mise-en-scène, cinematography, editing, sound, narrative, etc.);</li><li>Analyze and interpret film sequences for aesthetic qualities and deeper meanings (sequence analysis);</li><li>Outline the general development of the cinematic medium and film culture throughout recent history;</li><li>Identify major genres, movements, technological developments, and aesthetic styles from world film history;</li><li>Demonstrate an increased level of media literacy, specifically with regard to moving pictures and sound.</li></ul>","FMS220","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LSKAY","[LearningCourse]","Language & Power","Language and Power is a course on society, ideology and politics that analyzes language use in relation to power.
Language empowers us to transfer information, share imagination and construct our history. Through language we
transfer information, communicate, create and sustain communities, manage social discourse and spread
ideologies. We use language power to control political, economic and social domains, manipulate the public,
advertise products, forefront political agenda, and gain control over minds as well as territories. The power of
language is also exercised in marginalizing minorities, migrants and indigenous languages.","<p>Upon completion of this course, students will be able to:</p><ul><li>Gained insights into the factors endorsing power in language;</li><li>Explored questions on the interaction of language, ideology, communication and power;</li><li>Discussed relevant theoretical literature;</li><li>Investigated assigned topics independently by collecting and analyzing data;</li><li>Applied what learned in class to current problems and posed questions;</li><li>Framed a research project by a relevant theory and collected primary data to document it;</li><li>Presented the project in class and wrote up a research paper, following a relevant thesis, research questions and a strategy.</li></ul>","COM380","School of Arts, Humanities, and Social Sciences","[AcademicSession]","2023/24 Spring Term"
"[CourseOffering]","0P0Vg00000002LTKAY","[LearningCourse]","Human Rights","The course will introduce the main features of the contemporary human rights system. Based on the history and
theory of human rights, the course will explain the emergence and expansion of international human rights
standards. It will introduce the major international institutions such as the UN, CoE, EU, OAS, AU, and ICC and
it will explain the processes by which human rights standards are established and enforced at the international,
regional and national level. Finally, the course will examine the development of human rights in the context of
international and national politics amid growing globalization. Individual course topics will be supplemented with
concrete case studies.","<p>Upon completion of this course, students will be able to:</p><ul><li>Understand history, theory, purpose and categorisation of human rights;</li><li>Recognize major international institutions and the processes by which human rights standards are established and enforced at the international, regional and national level;</li><li>Analyse the development and enforcement of human rights in the context of international and national politics;</li><li>Analyse concrete cases of human rights violations and their solutions;</li><li>Think critically and to provide possible solutions of present problems concerning different fields of human rights;</li><li>Demonstrate effective presentation and discussion skills;</li><li>Discuss possibilities of further development of human rights in the context of changing international relations; advancing globalization and weakening notion of state sovereignty in particular.</li></ul>","IRS361","School of International Relations and Diplomacy","[AcademicSession]","2023/24 Spring Term"
